,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId,coordinates
2874,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,126,1,day_type_01,weekday,2018/01/01 21:28:00+00,Montserrat,7,0.0,0.0,29.0,2875,"(42.5625951, -70.8661599)"
2875,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,126,1,day_type_01,weekday,2018/01/01 21:32:00+00,Beverly,13,23.0,9.0,43.0,2876,"(42.5584284, -70.8800491)"
2877,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,126,1,day_type_01,weekday,2018/01/01 21:36:00+00,Salem,14,9.0,35.0,17.0,2878,"(42.5195292, -70.8967226)"
2878,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,126,1,day_type_01,weekday,2018/01/01 21:43:00+00,Swampscott,15,6.0,1.0,22.0,2879,"(42.4699241, -70.9171507)"
2879,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:00:00+00,Back Bay,2,137.0,0.0,540.0,2880,"(42.3507067, -71.0797297)"
2880,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,126,1,day_type_01,weekday,2018/01/01 21:46:00+00,Lynn,16,18.0,14.0,26.0,2881,"(42.466763, -70.9494939)"
2881,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,108,1,day_type_01,weekday,2018/01/01 11:52:00+00,Gloucester,2,63.0,1.0,106.0,2882,"(42.6159286, -70.6619888)"
2882,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:04:00+00,Ruggles,3,30.0,2.0,568.0,2883,"(-1, -1)"
2884,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,126,1,day_type_01,weekday,2018/01/01 21:49:00+00,River Works / GE Employees Only,17,8.0,0.0,34.0,2885,"(-1, -1)"
2885,Spring 2012,CR-Newburyport,Newburyport/Rockport Line,108,1,day_type_01,weekday,2018/01/01 11:57:00+00,West Gloucester,3,12.0,1.0,117.0,2886,"(42.6134284, -70.7106011)"
2886,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:09:00+00,Forest Hills,4,2.0,22.0,548.0,2887,"(42.2967648, -71.1119963)"
2887,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:12:00+00,Roslindale Village,5,0.0,147.0,401.0,2888,"(-1, -1)"
2888,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:15:00+00,Bellevue,6,0.0,38.0,363.0,2889,"(42.2875981, -71.1453304)"
2889,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:18:00+00,Highland,7,0.0,52.0,311.0,2890,"(42.2853759, -71.1567196)"
2890,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:21:00+00,West Roxbury,8,0.0,48.0,263.0,2891,"(42.2792649, -71.1494972)"
2891,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:26:00+00,Hersey,9,0.0,119.0,144.0,2892,"(-1, -1)"
2892,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:29:00+00,Needham Junction,10,0.0,57.0,87.0,2893,"(42.27232, -71.2453332)"
2893,Spring 2012,CR-Needham,Needham Line,625,0,day_type_01,weekday,2018/01/01 23:33:00+00,Needham Center,11,0.0,44.0,43.0,2894,"(-1, -1)"
2896,Spring 2012,CR-Needham,Needham Line,627,0,day_type_01,weekday,2018/01/01 23:30:00+00,Back Bay,2,68.0,4.0,247.0,2897,"(42.3507067, -71.0797297)"
2897,Spring 2012,CR-Needham,Needham Line,627,0,day_type_01,weekday,2018/01/01 23:34:00+00,Ruggles,3,20.0,0.0,267.0,2898,"(-1, -1)"
