,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
8421,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:35:00+00,Swampscott,5,1.0,13.0,67.0,8422
8422,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:42:00+00,Salem,6,13.0,18.0,62.0,8423
8423,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:46:00+00,Beverly,7,1.0,21.0,42.0,8424
8424,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:50:00+00,North Beverly,8,2.0,1.0,43.0,8425
8425,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 02:54:00+00,Hamilton/ Wenham,9,0.0,6.0,37.0,8426
8426,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 03:00:00+00,Ipswich,10,0.0,15.0,22.0,8427
8427,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,179,0,day_type_01,weekday,2018/01/02 03:05:00+00,Rowley,11,0.0,3.0,19.0,8428
8429,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,165,0,day_type_01,weekday,2018/01/01 21:09:00+00,Ipswich,10,0.0,14.0,57.0,8430
8431,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:02:00+00,Chelsea,2,0.0,2.0,57.0,8432
8432,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:10:00+00,Lynn,4,0.0,5.0,52.0,8433
8433,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:15:00+00,Swampscott,5,1.0,10.0,43.0,8434
8434,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:22:00+00,Salem,6,5.0,27.0,21.0,8435
8435,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:26:00+00,Beverly,7,1.0,10.0,12.0,8436
8436,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:30:00+00,North Beverly,8,0.0,1.0,11.0,8437
8437,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:34:00+00,Hamilton/ Wenham,9,0.0,1.0,10.0,8438
8438,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,181,0,day_type_01,weekday,2018/01/02 04:40:00+00,Ipswich,10,0.0,7.0,3.0,8439
8442,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:27:00+00,Chelsea,2,0.0,0.0,8.0,8443
8443,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:35:00+00,Lynn,4,0.0,1.0,7.0,8444
8444,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:40:00+00,Swampscott,5,0.0,0.0,7.0,8445
8445,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:47:00+00,Salem,6,0.0,3.0,4.0,8446
8446,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:51:00+00,Beverly,7,0.0,0.0,4.0,8447
8447,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:55:00+00,North Beverly,8,0.0,0.0,4.0,8448
8448,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 05:59:00+00,Hamilton/ Wenham,9,0.0,1.0,3.0,8449
